query,positive_doc,negative_doc,positive_case_id,negative_case_id
ما هو الحكم الصادر عن الدائرة التجارية الثالثة بالمحكمة الإدارية بجدة في القضية المرفوعة من شركة (...) للتجارة العامة؟,"نبيِّنا محمد وآله وصحبه أجمعين.
خالد بن عبد الرحمن العبيد	         أمين السر
عبد الله بن سمير الفيفي	             القاضي
فيصل بن صالح العنزي            القاضي
أنس بن سعد الشهراني           رئيس الدائرة
القرار في القضية رقم ١٩٤ لعام ١٤٣٩هـ
المقامة من/ شركة (...) للتجارة العامة
ضد/ (...)
والصادر فيها حكم الدائرة التجارية الثالثة بالمحكمة الإدارية بجدة بجلسة ١٥/١١/١٤٣٨هـ في القضية رقم ٣٨١٨/٢/ق لعام ١٤٣٧هـ .
الحمد لله، والصلاة والسلام على نبينا محمد وعلى آله وصحبه أجمعين، وبعد:
ففي يوم الاثنين ٢٦/٥/","الحكم في الدعوى رقم ٨٢٢٧/٢/ ق لعام ١٤٣٩ه
الحكم في الدعوى رقم ٨٢٢٧/٢/ ق لعام ١٤٣٩ه
المقامة من  / شركة (...) سجل تجاري رقم (...)
ضد / شركة (...) للصناعات – سجل تجاري رقم (...)
الحمد لله والصلاة والسلام على من لا نبي بعده ، وبعد :
ففي يوم الاثنين الموافق ١٩/١/١٤٣٩ه عقدت الدائرة التجارية الثالثة بمقر المحكمة التجارية بجدة جلستها والمشكلة من أصحاب الفضيلة:
قاضي                   سعدي بن محسن الزهراني                            رئيساً
قاضي                    فيصل بن صالح العنزي                        ",13072,13087
ما هو دور المدعي في بدء الخصومة القضائية وما هي أهمية المطالبة القضائية؟,ا ألا قضاء إلا في خصومة، وألا خصومة بغير دعوى يقيمها مدعيها، وبما أن الخصومة القضائية إنما هي عبارة عن مجموعة من الأعمال الإجرائية المتتابعة التي تتخذ لاستصدار حكم قضائي، فهي تنشأ بعمل إرادي من جانب المدعي أو من يمثله يتمثل في المطالبة القضائية، وبالتالي فإنها بمثابة إعلان عن إرادة مقدمها في بدء خصومته أمام القضاء بينه وبين المقامة في مواجهته، وهي ولئن كانت كافية لبدء الخصومة أمام القضاء كأثر إجرائي، بيد أنه لابد من اتصالها بالخصم الآخر، تحقيقا لمبدأ المواجهة بين الخصوم، وأساس ذلك حق الالتجاء إل,"، ولما كان من الواجب الحكم بمقتضاه ؛ وفقاً لما نص عليه الفقهاء ، ولا ينال من ذلك ما أثاره وكيل المدعى عليه من استقالة من وقع على تلك المصادقات أو بعضها ، وأن الختم غير نهائي ، على اعتبار أنها حجج لا ترقى لإسقاط بينة المدعية ، والقاعدة القضائية تنص على أنه : "" من سعى في نقض ما تم من قبله فسعيه مردود عليه "" لذلك كله فإن الدائرة تنتهي بإلزام المدعى عليها بمبلغ المطالبة ؛ لأن الأصل سلامة المخالصة حتى يثبت العكس وهو ما لم يثبت .
(ولهذه الأسباب)
حكمت الدائرةبإلزام شركة (...) للصناعات – سجل تجاري رقم (",13072,13087
ما هو دور وكيل المدعي في تقديم الأدلة المتعلقة بإقرار المدعى عليها بالمبلغ المستحق في قضية توريد المياه؟,ما كان وكيل المدعي يطلب إلزام المدعى عليها بسداد المتبقي من قيمة توريد المياه للمدعى عليها قدرها (٢.١٨٠.٢٨٥) مليونان ومئة وثمانون ألفاً ومئتان وخمسة وثمانون ريالاً ، ولما كان وكيل المدعي قد أرفق خطاباً أقرت فيه المدعى عليها بهذا المبلغ وممهور بختمها كبينة على صدق دعوى موكله، ولما كانت المدعى عليها على علم بهذه القضية المرفوعة ضدها وتخلف من يمثلها عن حضور جلستي ١٥/٦/١٤٣٨هــ و ١٤/٧/١٤٣٨هــ هو أو من ينوب عنه على الرغم من إبلاغها فيهما حسبما هو موضح في ضبط وأوراق القضية،  ولما كان من المستقر فقهاً و,"الحكم في الدعوى رقم (٢٩٣١)  لعام ١٤٣٨هـــ
الحكم في الدعوى رقم (٢٩٣١)  لعام ١٤٣٨هـــ
والمقامة من / (...)
ضد / (...)
الحمد لله وحده، والصلاة والسلام على من لا نبي بعده، وعلى آله وصحبه وبعد:
ففي يوم الأربعاء الموافق ٢١/١/١٤٣٩هـ، وبمقر المحكمة العامة بالمدينة المنورة؛ عقدت الدائرة التجارية الثانية جلستها برئاسة القاضي/ عبد العزيز بن سالم العوفي، وذلك للنظر في القضية المشار إلى بياناتها أعلاه والمحالة إلى هذه الدائرة بتاريخ ٢/١٢/١٤٣٨هـــ.
الوقائع:
تتلخص وقائع هذه الدعوى في أن المدعي تقدم إلى المحكمة ",13054,13053
ما هو الحكم الصادر من الدائرة التجارية الثانية بالمحكمة العامة بالمدينة المنورة في القضية بين الأطراف المذكورة؟,".) مبلغاً قدره (١١٦.٣٠٠) مائة وستة عشر ألف وثلاثمائة ريال
وبالله التوفيق، وصلى اللهم وسلم على عبدك ورسولك محمد وعلى آله وصحبه وسلم.
رئيس الدائرة
عبد العزيز بن سالم العوفي
الحكم في القضية رقم ١٣ لعام ١٤٣٩هــ
والمقامة من / (...)
ضد / (...)
الصادر بشأنها الحكم في القضية رقم ٢٩٣١ لعام ١٤٣٨هــ من الدائرة التجارية الثانية بالمحكمة العامة بالمدينة المنورة بجلسة ٢١/١/١٤٣٩هــ
الحمد لله وحده والصلاة والسلام على من لا نبي بعده،  وبعد:
ففي يوم الثلاثاء ٢١/٥/١٤٣٩هــ انعقدت الدائرة التجارية الأولى بمحكمة الاس"," 	رئيساً
عمر بن حسين الحربي			    عضواً
عمر بن مزيد المزيد			    عضواً
وبحضور/ عبد الرحمن بن جهز المطيري	     أميناً للسر
وذلك للنظر في هذه الدعوى المحالة إليها من إدارة الدعاوى والأحكام بتأريخ ١٩/٥/١٤٣٨هــ، والتي حضر المرافعة فيها وكيل المدعي (...)، سعودي الجنسية، هوية وطنية رقم (...)، بموجب الوكالة رقم (...)في ١/٥/١٤٣٨هــ الصادرة من كتابة العدل الثانية في المدينة المنورة، وبعد سماع المرافعة والدارسة والمداولة أصدرت بشأنها الحكم الآتي:
الوقائع:
تتلخص وقائع هذه الدعوى في أنه تقدم إلى المحكمة الإ",13053,13054
ما هي الإجراءات التي اتخذتها المحكمة في قضية عدم سداد المدعى عليه لباقي ثمن المواد المشتراة؟,"اً للسر . للنظر في القضية المبين رقمها وأطرافها أعلاه المحالة إلى الدائرة بتاريخ ٩/٦/١٤٣٨هـ
الوقائع
تتلخص وقائع القضية في تقدم ( ... ) بوكالته عن المدعية بعريضة دعوى يطلب فيها إلزام المدعى عليه بدفع مبلغ قدره ٨٨.٠٠٠ ريال يمثل المتبقي من قيمة مواد . وفي جلسة اليوم تبي عدم حضور المدعى عليه أو من يمثله شرعاً ، وقدم الحاضر خطاب الإبلاغ مختوم بختم المدعى عليه وطلب السير في الدعوى غيابيا والحكم لموكلته بمبلغ ٨٨.٠٠٠ ريال ، عن قيمة مواد اشتراها المدعى عليه ولم يسدد ثمنها ، وقدم بينته المتمثلة في طلب الم","لك الفقهاء ، لذا فإن الدائرة تنتهي إلى الحكم بالمبلغ .
وأما عن طلب اتعاب المحاماة وقدرها ٥٠.٠٠٠ ريال ، وبما أن التاجر بحاجة لتوكيل من ينوب عنه في المطالبة بحقوقه عادة ، خاصة وأن المدعية شركة ، فإن الدائرة تنتهي إلى أحقية المدعية بالتعويض عما يغرمه مثلها عادة في مثل هذه المطالبة ، وقد قال شيخ الإسلام رحمه الله ( إذا كان الذي عليه الحق قادر على الوفاء ومطل صاحب الحق حتى أحوجه إلى الشكاية فما غرمه بسبب ذلك فهو على الظالم المماطل ) ، وترى الدائرة تقدير أتعاب المحاماة بمبلغ ٢٠.٠٠٠ ريال وتنتهي إلى إلز",13096,13075
ما هي تفاصيل القضية التي تتعلق بإلزام المدعى عليه بدفع مبلغ ٨٨.٠٠٠ ريال كمتبقي من قيمة مواد؟,"اً للسر . للنظر في القضية المبين رقمها وأطرافها أعلاه المحالة إلى الدائرة بتاريخ ٩/٦/١٤٣٨هـ
الوقائع
تتلخص وقائع القضية في تقدم ( ... ) بوكالته عن المدعية بعريضة دعوى يطلب فيها إلزام المدعى عليه بدفع مبلغ قدره ٨٨.٠٠٠ ريال يمثل المتبقي من قيمة مواد . وفي جلسة اليوم تبي عدم حضور المدعى عليه أو من يمثله شرعاً ، وقدم الحاضر خطاب الإبلاغ مختوم بختم المدعى عليه وطلب السير في الدعوى غيابيا والحكم لموكلته بمبلغ ٨٨.٠٠٠ ريال ، عن قيمة مواد اشتراها المدعى عليه ولم يسدد ثمنها ، وقدم بينته المتمثلة في طلب الم","عقدت الدائرة التجارية الثالثة بمقر المحكمة التجارية بجدة جلستها بالتشكيل التالي   :
قاضي                   سعدي بن محسن الزهراني                            رئيساً
قاضي                    فيصل بن صالح العنزي                             عضواً
القاضي                  عبدالله بن سمير الفيفي                              عضواً
وبحضور أمين السر موسى بن عويد المحياوي أميناً للسر وذلك للنظر في القضية المذكورة أعلاه والمحالة إلى الدائرة بتاريخ ٥/٧/١٤٣٨ه
( الواقعات )
تتلخص في أن المدعية تقدمت بلائحة دعوى ت",13096,13075
"ما هي تفاصيل الدعوى التي تتعلق بإلزام المدعى عليه بدفع مبلغ ٣٤,٠٠٠ ريال مقابل مواد خام لتصنيع الخبز والحلويات؟","ح أميناً للسر، وذلك للنظر في القضية المذكورة أعلاه والمحالة لهذه الدائرة في ١٩/٥/١٤٣٩هــ، وقد اطلعت الدائرة على أوراق القضية والحكم الصادر فيها وعلى الاعتراض المقدم، وبعد دراسة القضية والمداولة فيها أصدرت الدائرة الحكم الماثل.
(دائرة الاستئناف)
تتحصل واقعات هذه القضية بما أوردها الحكم محل الاعتراض، لذا فإن الدائرة تحيل إليه درءاً للتكرار، وتتمثل في تقدم المدعي بصحيفة دعوى يطلب فيها إلزام المدعى عليه بمبلغ قدره (٣٤,٠٠٠) ريال؛ قيمة مواد خام لتصنيع الخبز والحلويات وبإحالة الدعوى إلى الدائرة ناظرة ا",معالي رئيس المجلس رقم (٩٦٧/ت) في ١/١/١٤٣٩هــ. وأما عن موضوع الدعوى فإن وكيل المدعية يقيم دعواه مطالبا بالمبلغ المشار إليه مستنداً إلى كشف حساب موضح به المبلغ المطالب به، لاتفاقهما في البند رقم (٧) من عقد فتح حساب المبرم بين المدعية والمدعى عليها على أن يكون كشف حساب الصادر عن المدعية هو المعتبر والملزم عند إجراء المحاسبة أو المطالبات القضائية، وبالرجوع إلى عقد فتح الحساب المبرم بينهما تبين أنه مصادق عليه من الغرفة التجارية، وتضمن في مقدمته بعد بيان معلومات المدعى عليه ما نصه: (إننا نرغب في فتح ح,13106,٢٥
ما هو موقف المحكمة التجارية من الاعتراضات المقدمة في قضية محمد بن أحمد الصياح ود. أحمد بن خالد العبد القادر؟,"تراض قدم خلال المهلة النظامية وبالتالي فهو خليق بالقبول شكلاً. أما عن الموضوع فإنه لم يظهر لهذه الدائرة من خلال الاطلاع على الأوراق وتفحصها أية ملاحظات تحول دون تأييد الحكم.
(ولذلك)
فإن هذه الدائرة تؤيده محمولاً على أسبابه. لذلك حكمت الدائرة بقبول الاعتراض شكلاً ورفضه موضوعاً وتأييد الحكم الموضح أعلاه محمولاً على أسبابه. والله الموفق، وصلى الله وسلم على نبينا محمد وآله وصحبه أجمعين.
محمد بن أحمد الصياح                                 أمين السر
د. أحمد بن خالد العبد القادر                        ",(...)، كما بالرجوع على البند رقم (٧) اتضح أن نصه ما يلي: (في حالة طلب الشركة منا سداد الحساب المستحق علينا للشركة يكون كشف حساب الشركة هو محل اعتبار وملزماً بكامل محتوياته لنا عند إجراء المحاسبة أو المطالبات القضائية أو القانونية أو الودية). وهو ما يثبت إقرار المدعى عليها باعتبار كشف حساب المدعية مرجعاً في تحديد ما تستحقه المدعية من مبالغ على المدعى عليها وملزماً لها، ولما كان أصل كشف الحساب قد تضمن بيان المبيعات على المدعى عليها وأرقام المستندات والدفعات التي سلمتها المدعية للمدعى عليها، وأوضح ,13106,٢٥
ما هو دور القاضي فهد بن عبد الرحمن الحمام في القضية المرفوعة من المدعية ضد شركة (...) للمقاولات؟,"حكم غيابي في القضية رقم١٨٦٠/ق لعام١٤٣٥هــ
حكم غيابي في القضية رقم١٨٦٠/ق لعام١٤٣٥هــ
المقامة من المدعية/ (...)
صاحب مؤسسة (...) للمقاولات
ضد المدعى عليها: شركة (...) للمقاولات
الحمد لله وحده والصلاة والسلام على من لا نبي بعده، وبعد:
ففي يوم الأربعاء الموافق٢/٨/١٤٣٦هــ انعقدت بمقر المحكمة الإدارية بالدمام الدائرة التجارية الأولى المشكلة من:
القاضي/ فهد بن عبد الرحمن الحمام                              رئيساً
القاضي/ عثمان بن صالح العنزي                                 عضواً
القاضي/ محمد بن فهد الد",الأمر، مما تتيقن معه الدائرة بعدم صرفهما، وتنتهي إلى ثبوت مبلغ المطالبة في ذمة المدعى عليه ومن ثم إلزامه بسداده للمدعية، ولا ينال من ذلك سند القبض رقم ٤٠١٦٨ المؤرخ في ١٩/١٠/٢٠١٤م الذي قدمه وكيل المدعى عليه في جلسة هذا اليوم ويذكر أنه تضمن سداد مبلغ قدره مئة وخمسة وعشرون ألف ريال ذلك أنه باطلاع الدائرة عليه تبين أن المستلم هو الشيك رقم ... المسحوب على البنك الأهلي والذي اتضح أنه لم يصرف لعدم كفاية الرصيد، وأما ما يخص المبلغ الذي يطلب المدعى عليه خصمه لصالح موكله وقدره (٨٥.٠٠٠) خمسة وثمانون ألف ري,13105,٢٦٥١
ما هي الإجراءات المتبعة في المحكمة التجارية عند تقديم فواتير كمستندات لدعم المطالبة؟,"نتهى الإرادات لتقي الدين الفتوحي أنه: (من ادعى على غائب مسافة قصر بغير علمه، أو مستتر بالبلد، أو دون مسافة قصر أو ميت، أو غير مكلف، وله بينة سمعت وحكم بها) ج٥ص٢٩٩-٣٠٠.
وحيث نصت المادة (٥٢٧) من نظام المحكمة التجارية على أنه: (إذا كان الممتنع عن الحضور هو المدعى عليه فيطلب المدعي أن تقرر المحكمة رؤية الدعوى غيابياً، وبعد الثبوت تحكم المحكمة بمقتضى ذلك حكماً معلقاً على نكول المدعى عليه عند وقوع الاعتراض).
وحيث إن ما قدمه المدعي وكالة من مستندات وهي فواتير تمثل مبلغ المطالبة، بالإضافة إلى عدم حضور ا",الطرفان اكتفاءهما بما سبق وأن قدماه وليس لديهما ما يودان إضافته ثم أصدرت الدائرة حكمها القاضي بإلزام (...) سجل مدني رقم (...) بأن يدفع لشركة مصنع (...) للأنابيب البلاستيكية ومستلزماتها سجل تجاري رقم (...) مبلغاً قدره (٢٤٩.٨٩٤) مئتان وتسعة وأربعون ألفاً وثمان مئة وأربعة وتسعون ريالاً، ثم تقدم وكيل المدعى عليه باعتراضه على الحكم خلال المدة المحددة نظاماً فجرى رفع كامل أوراق القضية إلى محكمة الاستئناف الإدارية بالمدينة والتي أصدرت بشأنها حكمها رقم (١٣٢٩/٥/إس) لعام ١٤٣٨هــ القاضي بنقض الحكم وإعادة ا,13105,٢٦٥١
كيف يتم تحديد أطراف الرابطة العقدية في القضايا التجارية؟, للقضاء رقم (١٩٤/٤/٣٨) في١٨/١٤٣٨هــ المبلغ بتعميم معالي رئيس المجلس الأعلى للقضاء رقم (٩٦٧/ت) في١/١/١٤٣٩هــ، ولما كانت الصفة في الخصومة من شروط قبل الدعوى، وهي من المسائل الأولية التي يأتي بحثها سابقاً على النظر في موضوع الدعوى وتقضي بها الدائرة دون توقف على طلب أو دفع من أحد الخصوم، واستناداً للمادة رقم (٧٦/١) من نظام المرافعات الشرعية، وبما أن انعقاد الخصومة القضائية بين أصحاب الصفة في التداعي مناطه تحديد أطراف الرابطة العقدية أو النظامية التي تعتبر مصدر الحق المطلوب تقريره أو الالتزام الذي حص,"هذه القضية المحالة إلى الدائرة في تاريخ ١١/٠١/١٤٣٩هـــ، وبعد سماع أقوال المدعية، وبعد الاطلاع على الأوراق، أصدرت الدائرة حكمها التالي:
الوقائع
تتلخص وقائع هذه الدعوى في أنه بتاريخ ١١/٠١/١٤٣٩هـــ، وردت إلى المحكمة التجارية بمحافظة جدة صحيفة دعوى مقدمة من المدعية اختصمت فيها المدعى عليها طالبة إلزامها بدفع قيمة مبيع وفقا للتفصيل المبين بصفحة الدعوى ومرفقاتها. وبقيد القضية في سجلات هذه المحكمة بالرقم المذكور في صدر هذا الحكم، وبإحالتها إلى هذه الدائرة؛ باشرت النظر فيها في جلسة هذا اليوم، وفيها استو",13057,٨٢
كيف تم تحديد طبيعة النشاط الرئيسي للمدعى عليها في قضية شراء الكواشف المخبرية؟,"ى علاج المرضى ورعايتهم. ثم قررت الدائرة رقع الجلسة للحكم، وأصدرت حكمها مبيناً على ما يلي:
الأسباب
وحيث طلبت المدعية إلزام المدعى عليها بدفع مبلغ قدره (١٤.٢٥٠) ريال يمثل قيمة كواشف مخبرية اشترتها المدعي عليها لاستخدامها في مجمع طبي تعود ملكيته للمدعي عليها، ولما كان النشاط الرئيسي للمدعى عليها وفقا لإقرار المدعية ينحصر في علاج المرضى ورعايتهم، وحيث يتبين بذلك أن المدعى عليها لا ينطبق عليها وصف التاجر؛ لكون طبيعة ما تقوم به من عمل هو في حقيقته من الأعمال المهنية وليس من الأعمال التجارية؛ ويعد ما ت","                     رئيساً
قاضي استئناف    د/ عبد العزيز بن علي الطويلعي                             عضواً
قاضي استئناف    د/ أحمد بن عبد العزيز السديري                              عضواً
وذلك للنظر في القضية المذكورة أعلاه والمحالة إلى الدائرة بتاريخ٢٠/٥/١٤٣٩هــ، وأصدرت الحكم الآتي:
حيث إن وقائع هذه القضية قد أوردها الحكم محل الاعتراض فإن الحكم يحيل إليه منعاً للتكرار، والذي قضت فيه الدائرة التجارية الثانية بالمحكمة العامة بتبوك بعدم قبول الدعوى المقامة من (...) صاحب مؤسسة (...) الزراعية ضد (.",٨٢,13057
كيف يتم تفسير الآيات القرآنية والأحاديث النبوية في سياق الالتزام بالعقود التجارية؟,"امت وفقاً لمقتضى عقد أبرم في حدود الشرع والنظام، وهذا انطلاقاً من قوله تعالى : ﴿ يا أيها الذين آمنوا أوفوا بالعقود ﴾ وقوله : ﴿ وأوفوا بالعهد إن العهد كان مسئولا ﴾ ، وقال عليه الصلاة والسلام كما في حديث أبي هريرة : (المسلمون على شروطهم)، وورد عن عمر بن الخطاب عند البخاري قوله "" مقاطع الحقوق عند الشروط ""، وحيث نص الفقهاء رحمهم الله على القاعدة الفقهية "" يلزم مراعاة الشرط قدر الإمكان ""، وحيث إن العقد الصحيح شريعة المتعاقدين وأن من الوفاء به تنفيذ شروطه، وإذ كل شرط ينشئه المتعاقدان يجب الالتزام والو"," المرافعة ورفعها للمداولة.
(الأسباب)
لما كان المدعي يهدف من دعواه إلى مطالبة المدعى عليها بمبلغ قدره (١٩٢,٠٠٠) مائة واثنان وتسعون ألف ريال- وفق ما تقدم بيانه-، وحيث حضر أمام الدائرة وكيل المدعى عليها ودفع بعدم اختصاص المحكمة المكاني في نظر الدعوى قبل الدخول في موضوعها. وحيث أن الثابت للدائرة وقوع مقر المدعى عليها في مدينة عنيزة بمنطقة القصيم بموجب شهادة سجلها التجاري رقم (...) وتاريخ٣/٥/١٣٨٨هــ.
وبناء على ذلك واستناداً إلى نصوص المواد (٣٨) (٧٥) من نظام المرافعات الشرعية فإن الدائرة تنتهي إلى الح",13093,13066
ما هو الحكم الصادر ضد شركة (...) التجارية لصالح شركة (...) للتجارة المحدودة بشأن المبلغ المالي المستحق؟,"مة الإدارية بحائل الصادر بتاريخ ٢٤/١١/١٤٣٨ه في القضية رقم ٦٦٥/٨/ق لعام ١٤٣٨ه القاضي بإلزام شركة (...) التجارية سجل تجاري رقم (...) بأن تدفع لشركة (...) للتجارة المحدودة سجل تجاري رقم (...) مبلغاً قدره  (٣٧.٨٧٦) سبعة وثلاثون ألفاً وثمانمائة وستة وسبعون ريالاً. محمولاً على أسبابه الموضوعية. والله الموفق. وصلى الله وسلم على نبينا محمد وعلى أله وصحبه أجمعين
نايف بن عبدالله الحايك     	                      أمين السر
د. عبدالعزيز بن عبدالعزيز الشثري                    عضو
ناصر بن حمد الوهيبي         ",ليها المثبت في ضبط الجلسة هويته ومستند صفته، ثم سألت الدائرة ممثل المدعية عن دعواه فعرضها كما جاء في لائحة الدعوى، وبعرض ذلك على وكيل المدعى عليها قدم مذكرة من ورقة واحدة تضمنت دفع موكلته بعدم اختصاص المحكمة مكانياً في نظر الدعوى لكون المدعى عليها يقع مقرها في مدينة عنيزة بمنطقة القصيم، كما أن المشروع محل العقد يقع في نفس المدينة. وقد أرفق مع مذكرته إثباتاً لدفعه صورة من العقد المؤرخ في١٣/٧/١٤٣٦هـ، وصورة من شهادة السجل التجاري للمدعى عليها برقم (...) وتاريخ٣/٥/١٣٨٨، وصورة شهادة السجل التجاري لفر,13093,13066
ما هي الأسباب الموضوعية التي استندت إليها المحكمة في إلزام دفع مبلغ ٤٨.٦٤١ ريال لشركة (...) للتجارة والمقاولات؟,"...) بأن يدفع لشركة (...) للتجارة والمقاولات سجل تجاري رقم (...) مبلغاً قدره  ( ٤٨.٦٤١ ) ثمان وأربعون ألف وتسعمائة وواحد وأربعون ريالاً . محمولاً على أسبابه الموضوعية . والله الموفق . وصلى الله وسلم على نبينا محمد وعلى أله وصحبه أجمعين
مهند بن سلمان العبدلي	                                  أمين السر
ناصر بن حمد الوهيبي	                                        عضو
بديع بن سعود البديع                                        عضو
عبدالرحمن بن محمد الجوفان                   رئيس الدائرة","(٧٠٠.٠٠٠) بموجب شيك أرفقت صورته في ملف الدعوى، وذلك قيمة أرض كان موكله قد باعها للمدعى عليه، ولم يتم سداد المبلغ المستحق، وأن موكل المدعي يطلب إلزام المدعى عليه بالسداد. وبإحالة القضية للدائرة أجرت ما هو لازم لنظرها وفي جلسة هذا اليوم حضر وكيل المدعي، وبسؤاله عن دعوى موكله أحال على ما ورد في لائحة الدعوى، وبسؤال الدائرة وكيل المدعي عن ملكية العقار أجاب بأن ملكية العقار تعود إلى موكله، وعليه أقفل المحضر.
الأسباب:
لما كانت مسألة الاختصاص من المسائل التي يتعين على الدائرة بحثها والفصل فيها ابتداءً ",13084,13051
ما هي تفاصيل الحكم الصادر من المحكمة الإدارية بتبوك في القضية المتعلقة بالبيع العقاري واستحقاق العقار؟,"الحكم الصادر في القضية رقم ١٠٣٤/١٣/ق لعام ١٤٣٨هـــ
الحكم الصادر في القضية رقم ١٠٣٤/١٣/ق لعام ١٤٣٨هـــ
والمقامة من /   (...)
ضد / (...)
الحمد لله وحده، والصلاة والسلام على نبينا محمد وعلى آله وصحبه .. وبعده:
ففي هذا اليوم الاثنين الموافق ١٦/١٠/١٤٣٨هــ، وبمقر المحكمة الإدارية بتبوك؛عقدت الدائرة التجارية الأولى جلستها المشكلة من:
القاضي 	محمد بن عبد الله الزهراني       	رئيساً
القاضي	يوسف بن رايد السلمي		         عضواً
القاضي نايف بن سعود الربيش		        عضواً
وبحضور	عبد العزيز بن سليم الخمشي أمينا","الحكم في القضية رقم ٥١٨/٨/ق لعام ١٤٣٨ه
الحكم في القضية رقم ٥١٨/٨/ق لعام ١٤٣٨ه
المدعي / شركة (...)  للتجارة والمقاولات
المدعى عليه/(...)  صاحب مؤسسة مكتب  (...) للمقاولات
الحمد لله وحده ، والصلاة والسلام على نبينا محمد وآله وصحبه وبعد :
في هذا اليوم الاثنين الموافق ١٥/١١/١٤٣٨هـ عقدت الدائرة التجارية الأولى بمقرها بالمحكمة الإدارية بحائل جلستها  ، بتشكيلها المكون من  :
القاضي/ محمد بن حمد اليحياء                                رئيساً
القاضي / إبراهيم بن عبدالله العجلان                           عض",13051,13084
